lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,22293,30775,35912,1,0,9375
0,0,0,0,0,0,21349,30263,35960,0,0,9380
0,0,0,0,0,0,30999,38313,36985,0,1,9385
0,0,0,0,0,0,22261,31495,36152,1,0,9390
0,0,0,0,0,0,27510,34664,36296,1,1,9402
0,0,0,0,0,0,23285,30631,35784,0,0,9405
0,0,0,0,0,0,19876,28983,35192,0,0,9410
0,0,0,0,0,0,34472,35128,35688,1,0,9415
0,0,0,0,0,0,24309,31607,36280,0,1,9420
0,0,0,0,0,0,20452,29415,35416,0,0,9425
0,0,0,0,0,0,17348,27158,34376,1,0,9430
0,0,0,0,0,0,30167,36456,36584,0,1,9435
0,0,0,0,0,0,22341,30919,35992,1,0,9440
0,0,0,0,0,0,22053,30583,36216,0,0,9445
0,0,0,0,0,0,30663,37321,36696,0,1,9450
0,0,0,0,0,0,22277,31255,36024,1,0,9455
0,0,0,0,0,0,19668,29207,35288,0,0,9460
0,0,0,0,0,0,30967,35080,35816,0,1,9465
0,0,0,0,0,0,22341,30295,35608,1,0,9470
0,0,0,0,0,0,19700,28695,35032,0,0,9475
0,0,0,0,0,0,33976,38809,37481,1,1,9480
0,0,0,0,0,0,20693,30167,35464,0,0,9485
0,0,0,0,0,0,28166,36376,36728,1,1,9497
0,0,0,0,0,0,23061,31063,35976,0,0,9500
0,0,0,0,0,0,19636,29047,35272,0,0,9505
0,0,0,0,0,0,17956,27798,34648,1,0,9510
0,0,0,0,0,0,30375,35944,36280,0,1,9515
0,0,0,0,0,0,22213,30663,35816,0,0,9520
0,0,0,0,0,0,21525,30295,36056,1,0,9525
0,0,0,0,0,0,30743,35048,35688,0,1,9530
0,0,0,0,0,0,22309,30295,35496,1,0,9535
0,0,0,0,0,0,19572,28662,35032,0,0,9540
0,0,0,0,0,0,31495,37321,36696,0,1,9545
0,0,0,0,0,0,22165,30951,35832,1,0,9550
0,0,0,0,0,0,19636,28983,35304,0,0,9555
0,0,0,0,0,0,32103,37209,36520,0,0,9560
0,0,0,0,0,0,22421,30567,35880,1,0,9565
0,0,0,0,0,0,19492,28646,35112,0,0,9570
0,0,0,0,0,0,16339,26534,33896,1,0,9575
0,0,0,0,0,0,30071,37529,37113,0,1,9580
0,0,0,0,0,0,27030,37529,39753,3,2,9623
0,0,0,0,0,0,36488,36376,37593,0,1,9625
0,0,0,0,0,0,23941,31543,36632,1,0,9630
0,0,0,0,0,0,20741,29655,35768,0,0,9635
0,0,0,0,0,0,32023,36969,36344,0,0,9640
0,0,0,0,0,0,24421,32327,36664,1,1,9645
0,0,0,0,0,0,20677,29767,35656,0,0,9650
0,0,0,0,0,0,18500,28182,34968,1,0,9655
0,0,0,0,0,0,30407,36520,36600,0,1,9660
0,0,0,0,0,0,22197,30903,36024,0,0,9665
0,0,0,0,0,0,22005,30519,36136,1,0,9670
0,0,0,0,0,0,30999,35432,35944,0,1,9675
0,0,0,0,0,0,22565,30471,35720,0,0,9680
0,0,0,0,0,0,19668,28775,35080,1,0,9685
0,0,0,0,0,0,31159,36889,36488,0,1,9690
0,0,0,0,0,0,22341,30871,35832,1,0,9695
0,0,0,0,0,0,19476,28951,35144,0,0,9700
0,0,0,0,0,0,35560,37081,37129,0,1,9705
0,0,0,0,0,0,20901,29671,35176,1,0,9710
0,0,0,0,0,0,26342,34776,36664,1,1,9727
0,0,0,0,0,0,23397,30935,36056,0,0,9730
0,0,0,0,0,0,21797,29783,35592,1,0,9735
0,0,0,0,0,0,30807,38073,37193,0,1,9740
0,0,0,0,0,0,22421,31591,36312,0,0,9745
0,0,0,0,0,0,19796,29399,35448,1,0,9750
0,0,0,0,0,0,30935,36648,36536,0,1,9755
0,0,0,0,0,0,22405,31031,36008,0,0,9760
0,0,0,0,0,0,19620,29015,35240,1,0,9765
0,0,0,0,0,0,32263,38153,37081,0,1,9770
0,0,0,0,0,0,21957,30871,35880,1,0,9775
0,0,0,0,0,0,19380,28919,35144,0,0,9780
0,0,0,0,0,0,34152,36472,35816,0,0,9785
0,0,0,0,0,0,24565,32263,36632,1,1,9790
0,0,0,0,0,0,20549,29591,35544,0,0,9795
0,0,0,0,0,0,18148,27974,34792,0,0,9800
0,0,0,0,0,0,30263,35640,36232,1,1,9805
0,0,0,0,0,0,22181,30551,35768,0,0,9810
0,0,0,0,0,0,27286,35736,36792,1,1,9822
0,0,0,0,0,0,23253,31127,36024,0,0,9825
0,0,0,0,0,0,19988,29255,35304,1,0,9830
0,0,0,0,0,0,31127,36648,36520,0,1,9835
0,0,0,0,0,0,22453,31063,35992,0,0,9840
0,0,0,0,0,0,19556,28919,35160,1,0,9845
0,0,0,0,0,0,33960,37497,36985,0,1,9850
0,0,0,0,0,0,20789,29879,35272,1,0,9855
0,0,0,0,0,0,18948,28406,34904,0,0,9860
0,0,0,0,0,0,31351,35512,35352,0,0,9865
0,0,0,0,0,0,24886,32231,36520,1,1,9870
0,0,0,0,0,0,20485,29351,35480,0,0,9875
0,0,0,0,0,0,18484,28134,34936,0,0,9880
0,0,0,0,0,0,30247,35336,36088,1,1,9885
0,0,0,0,0,0,22101,30247,35736,0,0,9890
0,0,0,0,0,0,23157,30855,36072,1,0,9895
0,0,0,0,0,0,30839,37625,36808,0,1,9900
0,0,0,0,0,0,22229,31255,36024,0,0,9905
0,0,0,0,0,0,27510,34600,36264,1,1,9917
0,0,0,0,0,0,23237,30487,35720,0,0,9920
0,0,0,0,0,0,19796,28887,35160,1,0,9925
0,0,0,0,0,0,32375,37881,36584,0,0,9930
0,0,0,0,0,0,23781,32151,36296,1,1,9935
0,0,0,0,0,0,20052,29575,35448,0,0,9940
0,0,0,0,0,0,17588,27494,34488,0,0,9945
0,0,0,0,0,0,30119,35192,36008,1,1,9950
0,0,0,0,0,0,22213,30343,35672,0,0,9955
0,0,0,0,0,0,21973,30231,35960,0,0,9960
0,0,0,0,0,0,30743,36632,36456,1,1,9965
0,0,0,0,0,0,22421,30935,35928,0,0,9970
0,0,0,0,0,0,19604,28967,35176,0,0,9975
0,0,0,0,0,0,30951,36296,36264,1,1,9980
0,0,0,0,0,0,22229,30583,35768,0,0,9985
0,0,0,0,0,0,19428,28791,35128,1,0,9990
0,0,0,0,0,0,35528,37273,37065,0,1,9995
0,0,0,0,0,0,20693,29543,35176,0,0,10000
0,0,0,0,0,0,28614,36632,36953,1,1,10012
0,0,0,0,0,0,23077,31079,35928,0,0,10015
0,0,0,0,0,0,19572,29031,35224,1,0,10020
0,0,0,0,0,0,20709,29495,35736,0,0,10025
0,0,0,0,0,0,30679,37753,36856,1,1,10030
0,0,0,0,0,0,22213,31415,36088,0,0,10035
0,0,0,0,0,0,19572,29223,35320,0,0,10040
